dimensions,budget,algorithm,rank,algo ID
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,200,MetaModelOnePlusOne,2,4
2,200,ChainMetaModelPowell,3,1
2,200,CMA,5,0
2,200,MetaModel,ngopt_3,3
3,200,MetaModelOnePlusOne,2,4
3,200,ChainMetaModelPowell,3,1
3,200,MetaModel,3,3
3,200,Cobyla,5,2
3,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
5,200,MetaModelOnePlusOne,1,4
5,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
5,200,ChainMetaModelPowell,4,1
5,200,MetaModel,4,3
5,200,Cobyla,ngopt_3,2
10,200,MetaModelOnePlusOne,2,4
10,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
10,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
10,200,ChainMetaModelPowell,4,1
10,200,Cobyla,ngopt_1,2
15,200,MetaModelOnePlusOne,2,4
15,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
15,200,CMA,4,0
15,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
15,200,Cobyla,ngopt_1,2
20,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
20,200,MetaModelOnePlusOne,3,4
20,200,CMA,4,0
20,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
20,200,Cobyla,ngopt_1,2
25,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
25,200,MetaModelOnePlusOne,3,4
25,200,CMA,4,0
25,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
25,200,Cobyla,ngopt_1,2
30,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
30,200,MetaModelOnePlusOne,3,4
30,200,CMA,4,0
30,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
30,200,Cobyla,ngopt_1,2
35,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,200,MetaModelOnePlusOne,3,4
35,200,CMA,4,0
35,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,200,Cobyla,ngopt_1,2
40,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,200,MetaModelOnePlusOne,3,4
40,200,CMA,4,0
40,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,200,Cobyla,ngopt_1,2
45,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,200,MetaModelOnePlusOne,3,4
45,200,CMA,4,0
45,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,200,Cobyla,ngopt_1,2
50,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,200,MetaModelOnePlusOne,3,4
50,200,CMA,4,0
50,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,200,Cobyla,ngopt_1,2
60,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,200,MetaModelOnePlusOne,3,4
60,200,CMA,4,0
60,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,200,Cobyla,ngopt_1,2
70,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,200,MetaModelOnePlusOne,3,4
70,200,CMA,4,0
70,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,200,Cobyla,ngopt_1,2
80,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,200,MetaModelOnePlusOne,3,4
80,200,CMA,4,0
80,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,200,Cobyla,ngopt_1,2
90,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
90,200,MetaModelOnePlusOne,3,4
90,200,CMA,4,0
90,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,200,Cobyla,ngopt_2,2
100,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
100,200,MetaModelOnePlusOne,3,4
100,200,ConfPortfolio_scale2_NA_ngopt14s_6,4,12
100,200,ConfPortfolio_scale2_NA_ngopt14s_7,5,11
100,200,Cobyla,ngopt_2,2
2,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,300,ChainMetaModelPowell,2,1
2,300,CMA,4,0
2,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
2,300,MetaModel,ngopt_2,3
3,300,ChainMetaModelPowell,2,1
3,300,MetaModel,2,3
3,300,MetaModelOnePlusOne,4,4
3,300,CMA,5,0
3,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
5,300,MetaModelOnePlusOne,2,4
5,300,Cobyla,3,2
5,300,ChainMetaModelPowell,4,1
5,300,MetaModel,4,3
5,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
10,300,MetaModelOnePlusOne,2,4
10,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
10,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
10,300,ChainMetaModelPowell,4,1
10,300,Cobyla,ngopt_1,2
15,300,MetaModelOnePlusOne,2,4
15,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
15,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
15,300,ChainMetaModelPowell,4,1
15,300,Cobyla,ngopt_1,2
20,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
20,300,MetaModelOnePlusOne,3,4
20,300,CMA,4,0
20,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
20,300,Cobyla,ngopt_1,2
25,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
25,300,MetaModelOnePlusOne,3,4
25,300,CMA,4,0
25,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
25,300,Cobyla,ngopt_1,2
30,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
30,300,MetaModelOnePlusOne,3,4
30,300,CMA,4,0
30,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
30,300,Cobyla,ngopt_1,2
35,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,300,MetaModelOnePlusOne,3,4
35,300,CMA,4,0
35,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,300,Cobyla,ngopt_1,2
40,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,300,MetaModelOnePlusOne,3,4
40,300,CMA,4,0
40,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,300,Cobyla,ngopt_1,2
45,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,300,MetaModelOnePlusOne,3,4
45,300,CMA,4,0
45,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,300,Cobyla,ngopt_1,2
50,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,300,MetaModelOnePlusOne,3,4
50,300,CMA,4,0
50,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,300,Cobyla,ngopt_1,2
60,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,300,MetaModelOnePlusOne,3,4
60,300,CMA,4,0
60,300,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,4,23
60,300,Cobyla,ngopt_1,2
70,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,300,MetaModelOnePlusOne,3,4
70,300,CMA,4,0
70,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,300,Cobyla,ngopt_1,2
80,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,300,MetaModelOnePlusOne,3,4
80,300,CMA,4,0
80,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,300,Cobyla,ngopt_1,2
90,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,300,MetaModelOnePlusOne,3,4
90,300,CMA,4,0
90,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,300,Cobyla,ngopt_1,2
100,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,300,MetaModelOnePlusOne,3,4
100,300,ConfPortfolio_scale2_NA_ngopt14s_6,4,12
100,300,ConfPortfolio_scale2_NA_ngopt14s_7,5,11
100,300,Cobyla,ngopt_1,2
2,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,500,ChainMetaModelPowell,2,1
2,500,MetaModel,2,3
2,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
2,500,CMA,ngopt_4,0
3,500,ChainMetaModelPowell,2,1
3,500,MetaModel,2,3
3,500,CMA,4,0
3,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
3,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
5,500,ChainMetaModelPowell,2,1
5,500,MetaModel,2,3
5,500,MetaModelOnePlusOne,4,4
5,500,CMA,5,0
5,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
10,500,MetaModelOnePlusOne,2,4
10,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
10,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
10,500,ChainMetaModelPowell,4,1
10,500,Cobyla,ngopt_1,2
15,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
15,500,MetaModelOnePlusOne,3,4
15,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
15,500,ChainMetaModelPowell,4,1
15,500,Cobyla,ngopt_1,2
20,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
20,500,MetaModelOnePlusOne,3,4
20,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
20,500,ChainMetaModelPowell,4,1
20,500,Cobyla,ngopt_1,2
25,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
25,500,MetaModelOnePlusOne,3,4
25,500,CMA,4,0
25,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
25,500,Cobyla,ngopt_1,2
30,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
30,500,MetaModelOnePlusOne,3,4
30,500,CMA,4,0
30,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
30,500,Cobyla,ngopt_1,2
35,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,500,MetaModelOnePlusOne,3,4
35,500,CMA,4,0
35,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,500,Cobyla,ngopt_1,2
40,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,500,MetaModelOnePlusOne,3,4
40,500,CMA,4,0
40,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,500,Cobyla,ngopt_1,2
45,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,500,MetaModelOnePlusOne,3,4
45,500,CMA,4,0
45,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,500,Cobyla,ngopt_1,2
50,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,500,MetaModelOnePlusOne,3,4
50,500,CMA,4,0
50,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,500,Cobyla,ngopt_1,2
60,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,500,MetaModelOnePlusOne,3,4
60,500,CMA,4,0
60,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,500,Cobyla,ngopt_1,2
70,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,500,MetaModelOnePlusOne,3,4
70,500,CMA,4,0
70,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,500,Cobyla,ngopt_1,2
80,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,500,MetaModelOnePlusOne,3,4
80,500,CMA,4,0
80,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,500,Cobyla,ngopt_1,2
90,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,500,MetaModelOnePlusOne,3,4
90,500,CMA,4,0
90,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,500,Cobyla,ngopt_1,2
100,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,500,MetaModelOnePlusOne,3,4
100,500,ConfPortfolio_scale2_NA_ngopt14s_12,4,6
100,500,ConfPortfolio_scale2_NA_ngopt14s_6,5,12
100,500,Cobyla,ngopt_1,2
2,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,1000,ChainMetaModelPowell,2,1
2,1000,MetaModel,2,3
2,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
2,1000,CMA,ngopt_4,0
3,1000,CMA,1,0
3,1000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
3,1000,MetaModel,3,3
3,1000,ChainMetaModelPowell,3,1
3,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_5,5
5,1000,CMA,2,0
5,1000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
5,1000,MetaModel,4,3
5,1000,ChainMetaModelPowell,4,1
5,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
10,1000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
10,1000,ChainMetaModelPowell,2,1
10,1000,MetaModel,2,3
10,1000,MetaModelOnePlusOne,5,4
10,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
15,1000,Cobyla,1,2
15,1000,MetaModelOnePlusOne,2,4
15,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
15,1000,ChainMetaModelPowell,4,1
15,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_3,5
20,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
20,1000,MetaModelOnePlusOne,3,4
20,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
20,1000,ChainMetaModelPowell,4,1
20,1000,Cobyla,ngopt_1,2
25,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
25,1000,MetaModelOnePlusOne,3,4
25,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
25,1000,ChainMetaModelPowell,4,1
25,1000,Cobyla,ngopt_1,2
30,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
30,1000,MetaModelOnePlusOne,3,4
30,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
30,1000,ChainMetaModelPowell,4,1
30,1000,Cobyla,ngopt_1,2
35,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,1000,MetaModelOnePlusOne,3,4
35,1000,CMA,4,0
35,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,1000,Cobyla,ngopt_1,2
40,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,1000,MetaModelOnePlusOne,3,4
40,1000,CMA,4,0
40,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,1000,Cobyla,ngopt_1,2
45,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,1000,MetaModelOnePlusOne,3,4
45,1000,CMA,4,0
45,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,1000,Cobyla,ngopt_1,2
50,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,1000,MetaModelOnePlusOne,3,4
50,1000,CMA,4,0
50,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,1000,Cobyla,ngopt_1,2
60,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,1000,MetaModelOnePlusOne,3,4
60,1000,CMA,4,0
60,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,1000,Cobyla,ngopt_1,2
70,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,1000,MetaModelOnePlusOne,3,4
70,1000,CMA,4,0
70,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,1000,Cobyla,ngopt_1,2
80,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,1000,MetaModelOnePlusOne,3,4
80,1000,CMA,4,0
80,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,1000,Cobyla,ngopt_1,2
90,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,1000,MetaModelOnePlusOne,3,4
90,1000,CMA,4,0
90,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,1000,Cobyla,ngopt_1,2
100,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,1000,MetaModelOnePlusOne,3,4
100,1000,CMA,4,0
100,1000,ConfPortfolio_scale2_NA_ngopt14s_6,4,12
100,1000,Cobyla,ngopt_1,2
2,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,1500,ChainMetaModelPowell,2,1
2,1500,MetaModel,2,3
2,1500,CMA,4,0
2,1500,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,ngopt_14,35
3,1500,CMA,1,0
3,1500,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
3,1500,MetaModel,3,3
3,1500,ChainMetaModelPowell,3,1
3,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_5,5
5,1500,CMA,2,0
5,1500,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
5,1500,MetaModel,4,3
5,1500,ChainMetaModelPowell,4,1
5,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
10,1500,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
10,1500,ChainMetaModelPowell,2,1
10,1500,MetaModel,2,3
10,1500,CMA,5,0
10,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
15,1500,Cobyla,2,2
15,1500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
15,1500,ChainMetaModelPowell,3,1
15,1500,MetaModel,3,3
15,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
20,1500,Cobyla,2,2
20,1500,MetaModelOnePlusOne,3,4
20,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
20,1500,ChainMetaModelPowell,4,1
20,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,1500,Cobyla,1,2
25,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
25,1500,MetaModelOnePlusOne,3,4
25,1500,ChainMetaModelPowell,4,1
25,1500,CMA,ngopt_7,0
30,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
30,1500,MetaModelOnePlusOne,3,4
30,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
30,1500,ChainMetaModelPowell,4,1
30,1500,Cobyla,ngopt_1,2
35,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,1500,MetaModelOnePlusOne,3,4
35,1500,CMA,4,0
35,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,1500,Cobyla,ngopt_1,2
40,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,1500,MetaModelOnePlusOne,3,4
40,1500,CMA,4,0
40,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,1500,Cobyla,ngopt_1,2
45,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,1500,MetaModelOnePlusOne,3,4
45,1500,CMA,4,0
45,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,1500,Cobyla,ngopt_1,2
50,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,1500,MetaModelOnePlusOne,3,4
50,1500,CMA,4,0
50,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,1500,Cobyla,ngopt_1,2
60,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,1500,MetaModelOnePlusOne,3,4
60,1500,CMA,4,0
60,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,1500,Cobyla,ngopt_1,2
70,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,1500,MetaModelOnePlusOne,3,4
70,1500,CMA,4,0
70,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,1500,Cobyla,ngopt_1,2
80,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,1500,MetaModelOnePlusOne,3,4
80,1500,CMA,4,0
80,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,1500,Cobyla,ngopt_1,2
90,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,1500,MetaModelOnePlusOne,3,4
90,1500,CMA,4,0
90,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,1500,Cobyla,ngopt_1,2
100,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,1500,MetaModelOnePlusOne,3,4
100,1500,CMA,4,0
100,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
100,1500,Cobyla,ngopt_1,2
2,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,2000,ChainMetaModelPowell,2,1
2,2000,MetaModel,2,3
2,2000,CMA,4,0
2,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,ngopt_14,34
3,2000,ChainMetaModelPowell,1,1
3,2000,MetaModel,1,3
3,2000,CMA,3,0
3,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
3,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,ngopt_7,36
5,2000,CMA,1,0
5,2000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
5,2000,MetaModel,3,3
5,2000,ChainMetaModelPowell,3,1
5,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_5,5
10,2000,CMA,2,0
10,2000,MetaModel,3,3
10,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
10,2000,ChainMetaModelPowell,3,1
10,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
15,2000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
15,2000,ChainMetaModelPowell,2,1
15,2000,MetaModel,2,3
15,2000,CMA,5,0
15,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
20,2000,Cobyla,2,2
20,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
20,2000,ChainMetaModelPowell,3,1
20,2000,MetaModel,3,3
20,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
25,2000,Cobyla,2,2
25,2000,MetaModelOnePlusOne,3,4
25,2000,ChainMetaModelPowell,4,1
25,2000,CMA,ngopt_7,0
30,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,2000,Cobyla,2,2
30,2000,MetaModelOnePlusOne,3,4
30,2000,ChainMetaModelPowell,4,1
30,2000,CMA,ngopt_7,0
35,2000,Cobyla,1,2
35,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,2000,ChainMetaModelPowell,4,1
35,2000,MetaModelOnePlusOne,ngopt_3,4
40,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,2000,MetaModelOnePlusOne,3,4
40,2000,CMA,4,0
40,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,2000,Cobyla,ngopt_1,2
45,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,2000,MetaModelOnePlusOne,3,4
45,2000,CMA,4,0
45,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,2000,Cobyla,ngopt_1,2
50,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,2000,MetaModelOnePlusOne,3,4
50,2000,CMA,4,0
50,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,2000,Cobyla,ngopt_1,2
60,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,2000,MetaModelOnePlusOne,3,4
60,2000,CMA,4,0
60,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
