dimensions,budget,algorithm
3,5000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001)], warmup_ratio=0.5)"
3,6000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003)], warmup_ratio=0.5)"
3,7000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003)], warmup_ratio=0.5)"
3,8000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005)], warmup_ratio=0.5)"
3,9000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101)], warmup_ratio=0.5)"
3,10000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=30.287510659225312)], warmup_ratio=0.5)"
5,200,Cobyla
5,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
5,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
5,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
5,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
5,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
5,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
5,3000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,3500,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,4000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,4500,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,5000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,6000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,7000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,8000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,9000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
5,10000,"ConfPortfolio(optimizers=[<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>, <class 'nevergrad.optimization.optimizerlib.NGOpt14'>], warmup_ratio=0.7)"
10,200,Cobyla
10,300,Cobyla
10,500,Cobyla
10,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
10,6000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
10,7000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
10,8000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
10,9000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
10,10000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3)], warmup_ratio=0.5)"
15,200,Cobyla
15,300,Cobyla
15,500,Cobyla
15,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
15,8000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
15,9000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
15,10000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0)], warmup_ratio=0.5)"
20,200,Cobyla
20,300,Cobyla
20,500,Cobyla
20,1000,Cobyla
20,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
20,10000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2)
25,200,Cobyla
25,300,Cobyla
25,500,Cobyla
25,1000,Cobyla
25,1500,CMA
25,2000,CMA
25,2500,CMA
25,3000,CMA
25,3500,CMA
25,4000,CMA
25,4500,CMA
25,5000,CMA
25,6000,CMA
25,7000,ChainMetaModelPowell
25,8000,ChainMetaModelPowell
25,9000,ChainMetaModelPowell
25,10000,ChainMetaModelPowell
30,200,Cobyla
30,300,Cobyla
30,500,Cobyla
30,1000,Cobyla
30,1500,Cobyla
30,2000,CMA
30,2500,CMA
30,3000,CMA
30,3500,CMA
30,4000,CMA
30,4500,CMA
30,5000,CMA
30,6000,CMA
30,7000,ChainMetaModelPowell
30,8000,ChainMetaModelPowell
30,9000,ChainMetaModelPowell
30,10000,ChainMetaModelPowell
35,200,Cobyla
35,300,Cobyla
35,500,Cobyla
35,1000,Cobyla
35,1500,Cobyla
35,2000,MetaModelOnePlusOne
35,2500,CMA
35,3000,CMA
35,3500,CMA
35,4000,CMA
35,4500,CMA
35,5000,CMA
35,6000,CMA
35,7000,ChainMetaModelPowell
35,8000,ChainMetaModelPowell
35,9000,ChainMetaModelPowell
35,10000,ChainMetaModelPowell
40,200,Cobyla
40,300,Cobyla
40,500,Cobyla
40,1000,Cobyla
40,1500,Cobyla
40,2000,Cobyla
40,2500,MetaModelOnePlusOne
40,3000,MetaModelOnePlusOne
40,3500,CMA
40,4000,CMA
40,4500,CMA
40,5000,CMA
40,6000,CMA
40,7000,ChainMetaModelPowell
40,8000,ChainMetaModelPowell
40,9000,ChainMetaModelPowell
40,10000,ChainMetaModelPowell
45,200,Cobyla
45,300,Cobyla
45,500,Cobyla
45,1000,Cobyla
45,1500,Cobyla
45,2000,Cobyla
45,2500,MetaModelOnePlusOne
45,3000,MetaModelOnePlusOne
45,3500,MetaModelOnePlusOne
45,4000,MetaModelOnePlusOne
45,4500,CMA
45,5000,CMA
45,6000,CMA
45,7000,ChainMetaModelPowell
45,8000,ChainMetaModelPowell
45,9000,ChainMetaModelPowell
45,10000,ChainMetaModelPowell
50,200,Cobyla
50,300,Cobyla
50,500,Cobyla
50,1000,Cobyla
50,1500,Cobyla
50,2000,Cobyla
50,2500,Cobyla
50,3000,MetaModelOnePlusOne
50,3500,MetaModelOnePlusOne
50,4000,MetaModelOnePlusOne
50,4500,MetaModelOnePlusOne
50,5000,CMA
50,6000,CMA
50,7000,ChainMetaModelPowell
50,8000,ChainMetaModelPowell
50,9000,ChainMetaModelPowell
50,10000,ChainMetaModelPowell
60,200,Cobyla
60,300,Cobyla
60,500,Cobyla
60,1000,Cobyla
60,1500,Cobyla
60,2000,Cobyla
60,2500,Cobyla
60,3000,Cobyla
60,3500,MetaModelOnePlusOne
60,4000,MetaModelOnePlusOne
60,4500,MetaModelOnePlusOne
60,5000,MetaModelOnePlusOne
60,6000,MetaModelOnePlusOne
60,7000,MetaModelOnePlusOne
60,8000,ChainMetaModelPowell
60,9000,ChainMetaModelPowell
60,10000,ChainMetaModelPowell
70,200,Cobyla
70,300,Cobyla
70,500,Cobyla
70,1000,Cobyla
70,1500,Cobyla
70,2000,Cobyla
70,2500,Cobyla
70,3000,Cobyla
70,3500,Cobyla
70,4000,MetaModelOnePlusOne
70,4500,MetaModelOnePlusOne
70,5000,MetaModelOnePlusOne
70,6000,MetaModelOnePlusOne
70,7000,MetaModelOnePlusOne
70,8000,MetaModelOnePlusOne
70,9000,MetaModelOnePlusOne
70,10000,ChainMetaModelPowell
80,200,Cobyla
80,300,Cobyla
80,500,Cobyla
80,1000,Cobyla
80,1500,Cobyla
80,2000,Cobyla
80,2500,Cobyla
80,3000,Cobyla
80,3500,Cobyla
80,4000,Cobyla
80,4500,MetaModelOnePlusOne
80,5000,MetaModelOnePlusOne
80,6000,MetaModelOnePlusOne
80,7000,MetaModelOnePlusOne
80,8000,MetaModelOnePlusOne
80,9000,MetaModelOnePlusOne
80,10000,MetaModelOnePlusOne
90,200,Cobyla
90,300,Cobyla
90,500,Cobyla
90,1000,Cobyla
90,1500,Cobyla
90,2000,Cobyla
90,2500,Cobyla
90,3000,Cobyla
90,3500,Cobyla
90,4000,Cobyla
90,4500,Cobyla
90,5000,MetaModelOnePlusOne
90,6000,MetaModelOnePlusOne
90,7000,MetaModelOnePlusOne
90,8000,MetaModelOnePlusOne
90,9000,MetaModelOnePlusOne
90,10000,MetaModelOnePlusOne
100,200,Cobyla
100,300,Cobyla
100,500,Cobyla
100,1000,Cobyla
100,1500,Cobyla
100,2000,Cobyla
100,2500,Cobyla
100,3000,Cobyla
100,3500,Cobyla
100,4000,Cobyla
100,4500,Cobyla
100,5000,Cobyla
100,6000,MetaModelOnePlusOne
100,7000,MetaModelOnePlusOne
100,8000,MetaModelOnePlusOne
100,9000,MetaModelOnePlusOne
100,10000,MetaModelOnePlusOne
